COICOP;DESCRIPTION
01;VOEDING EN NIET- ALCOHOLISCHE DRANKEN
02;ALCOHOLISCHE DRANKEN, TABAK
03;KLEDING EN SCHOENEN
041;ReÃ«le huur
043;Onderhoud en herstelling woning
044;Leidingwater, afvalophaling, andere kosten verbonoden aan de huisvesting 
0451;Elektriciteit
0452;Gas
0453;Huisbrandolie
0454;Vaste brandstoffen
05;MEUBELEN, HUISHOUDTOESTELLEN EN ONDERHOUDSPRODUCTEN
06;GEZONDHEID
071;Aankoop van voertuigen
0721;Banden, vervangstukken en onderdelen voor persoonlijk vervoer
07221;diesel
07222;benzine
07223;andere brandstoffen
07224;smeermiddelen
0723;Herstelling en onderhoud van voertuigen
0724;Overige uitgaven voor persoonlijk vervoer
073;Diensten vervoer
08;COMMUNICATIE
09;CULTUUR EN VRIJE TIJD
10;OPLEIDING
11;RESTAURANT EN HORECA
12;PERSOONLIJKE VERZORGING EN DIENSTEN